Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
20-Dec-24,EQ,"1,770.00","1,770.85","1,680.10","1,754.35","1,685.85","1,686.05","1,705.09","1,807.70","1,162.95","29,21,154","4,98,08,24,684.60","1,07,467"
19-Dec-24,EQ,"1,739.95","1,768.90","1,735.00","1,778.90","1,752.70","1,754.35","1,754.10","1,807.70","1,162.95","24,02,819","4,21,47,84,978.40","1,02,501"
18-Dec-24,EQ,"1,762.05","1,787.95","1,760.55","1,770.75","1,775.00","1,778.90","1,778.78","1,807.70","1,162.95","13,37,600","2,37,93,00,421.20","71,854"
17-Dec-24,EQ,"1,777.45","1,789.15","1,761.00","1,775.55","1,766.45","1,770.75","1,771.08","1,807.70","1,162.95","11,60,899","2,05,60,42,341.25","69,885"
16-Dec-24,EQ,"1,793.50","1,793.50","1,766.00","1,796.40","1,774.15","1,775.55","1,777.48","1,807.70","1,162.95","10,75,193","1,91,11,31,411.65","57,793"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date ,Difference,,,,,,,,,,,,
20-Dec-24,0,,,,,,,,,,,,
19-Dec-24,66.85,,,,,,,,,,,,
18-Dec-24,22.3,,,,,,,,,,,,
17-Dec-24,-8.55,,,,,,,,,,,,
16-Dec-24,7.7,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date ,ltp ,,,,,,,,,,,,
20-Dec-24,"1,685.85",,,,,,,,,,,,
19-Dec-24,"1,752.70",,,,,,,,,,,,
18-Dec-24,"1,775.00",,,,,,,,,,,,
17-Dec-24,"1,766.45",,,,,,,,,,,,
16-Dec-24,"1,774.15",,,,,,,,,,,,
